Station_Code,Station_Name,State_Name,Minimum_Temperature,Maximum_Temperature,Minimum_DissolvedO2,Maximum_DissolvedO2,Minimum_pH,Maximum_pH,Minimum_Conductivity,Maximum_Conductivity,Minimum_BOD,Maximum_BOD,Minimum_NitrateN_and_NitriteN,Maximum_NitrateN_and_NitriteN,Minimum_Fecal_Coliform,Maximum_Fecal_Coliform,Minimum_Total_Coliform,Maximum_Total_Coliform
3864,MARKANDA RIVER D/S OF MOGINAND NALA,HIMACHAL PRADESH,13,33,5.8,9,6.9,8.2,362,6170,0.5,2.1,0.05,1.32,14,27,40,110
4025,MOL KHAD U/S PALAMPU,HIMACHAL PRADESH,11,13.5,8.2,8.6,7.1,8.1,109,1230,0.1,0.3,0.13,0.72,2,4,70,94
4026,MOL KHAD D/S PALAMPU,HIMACHAL PRADESH,11.5,13.5,8.1,8.6,7,8.5,7,246,0.1,0.3,0.18,0.97,2,6,46,110
4038,RIVER TIRTHAN B/C TO RIVER SATLUJ,HIMACHAL PRADESH,5,18,8.5,11.6,7.6,8.2,62,122,0.1,0.2,-,-,13,40,150,280
4076,"MANWAR TAWI AT NOWSHERA, CONFLUENCE POINT OF TRIBUTARIES IN
MANWAR TAWI)",JAMMU & KASHMIR,22,22,8.2,8.2,8.4,8.4,188,188,-,-,-,-,-,-,-,-
4079,"MANWAR TAWI AT TARHALI BRIDGE ( 5
KM U/S SALAINI BRIDGE)","JAMMU &
KASHMIR",21,22,7.4,8.2,7.6,8.3,96,136,-,-,0.01,0.01,-,-,-,-
4081,"SURAN RIVER RIVER BELOW SHER-E-
KASHMIR BRIDGE AT POONCH","JAMMU &
KASHMIR",16,16,8.5,8.5,8.1,8.1,119,119,0.2,0.2,-,-,-,-,-,-
4742,"GALUDIH BARRAGE, GALUDIH, E.S",JHARKHAND,19.5,33,4.6,7.2,6.8,7.6,202,282,0.6,3,-,-,2,140,750,750
4753,"HARMU RIVER, NEAR HARMU BRIDGE,
HARMU, RANCHI",JHARKHAND,8,27,-,-,6,6.6,-,-,3.4,4,-,-,200,230,1200,1200
4754,"HARMU RIVER BEFORE METTING TO
SWARNREKHA RIVER",JHARKHAND,9,28,6.8,6.8,6.5,7.5,-,-,3.6,4,-,-,200,230,1200,1200
4738,"JAMUNIA RIVER NEAR LOHAPATTI
BRIDGE, MAHUDA, DHANBAD",JHARKHAND,16,35.5,7.2,7.5,7.2,7.6,-,-,2.1,2.5,-,-,-,-,-,-
4739,"KATRI RIVER, NEAR BHATINDA FALL, AT-
TETENGABAD, MOONIDIH, DHANBAD",JHARKHAND,16,38,7,7.6,7.2,7.5,-,-,3,3.6,-,-,-,-,-,-
4745,"ON KHARKHAI RIVER BEFORE MEETING
SWARNREKHA RIVER",JHARKHAND,15,27,3.5,6.2,7.3,7.6,235,332,2.8,8,-,-,2,2,-,-
4747,"KOINA RIVER, MANOHARPUR, W.S",JHARKHAND,19,35,7.2,7.7,7.4,7.5,202,238,0.4,0.9,-,-,2,2,-,-
4756,"RUCCA DAM ON SWARNREKHA RIVER,
RUCCA, RANCHI",JHARKHAND,12,25,8.3,8.5,7.3,7.5,-,-,2.6,3,-,-,140,200,750,1200
4499,"BENNIOTHORA DAM, KURKOTA
VILLAGE",KARNATAKA,27,30,6.5,7.8,8,8.2,338,740,2,2.8,0.1,0.52,170,350,900,1600
4500,"KAGINA RIVER AT D/S OF BRIDGE CUM
BARRAGE, SADEM TQ",KARNATAKA,26,29,6.4,7.4,8,8.3,450,585,2,2.6,0.13,0.55,110,300,540,920
1444,"KALI AT D/S WEST COAST PAPER MILL
(WCPM) ,",KARNATAKA,23,29,7.2,8.2,6.9,7.6,50,110,2.6,26,0.02,0.21,35,350,95,1600
2780,"KALI AT U/S OF WCPM, DANDELI,",KARNATAKA,23,26,7.6,8.1,7,7.4,47,108,2.3,2.6,0.02,0.18,17,900,70,1800
4497,KENGRE HOLE (SIRSI),KARNATAKA,25,27,6.9,7.8,6.9,7.8,59,119,2.1,2.3,0.1,0.29,25,250,40,1800
1894,"KUMARADHARA - U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH
RIVER NETHRAVATHI",KARNATAKA,25,31,6.2,7,6.8,7.3,134,180,2,2,1,1.1,14,500,90,900
1892,"NETRAVATHI U/S OF DHARMASTALA AT
WATER SUPPLY INTAKE POINT",KARNATAKA,25,32,6,6.7,6.8,7.4,136,178,2,6,0.1,1.47,17,110,90,350
3562,"NETRAVATHI AT THUMBE WATER
SUPPLY STATIONS TO MANGALORE CITY",KARNATAKA,26,30,6,7,6.9,7.4,130,176,2,2,0.88,1.12,22,170,90,900
3563,"NETRAVATHI AT U/S OF UPIINGADY
TOWN",KARNATAKA,25,30,6,7,6.8,7.3,138,172,2,2,1.04,1.12,34,140,220,900
1342,ACHANKOVIL AT THUMPAMON,KERALA,19,24,5.3,6.5,6.5,7.3,114,134,1.6,2.4,0.6,0.82,70,280,170,480
1443,ACHANKOVIL AT CHENNITHULA,KERALA,19,24,5.1,6.3,6,7.1,116,132,1.6,2.6,0.56,0.84,100,320,220,540
3465,"ACHANKOVIL AT KALLARAKADAVU,
PATHANAMTHITTA",KERALA,20,23,6,7.4,6,7.3,102,128,1.6,2.8,0.62,0.86,130,480,310,630
3466,"ACHANKOVIL AT PANDALAM (NEAR
AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,20,23,5.4,7.2,6.5,7.4,102,124,1.6,2.4,0.54,0.76,130,410,260,630
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,23,33,4.2,8,6.4,7.4,48,135,0.2,2.5,0.01,0.3,20,150,100,560
2319,ANCHARAKANDY AT ANCHARAKANDY,KERALA,22,32,4.6,8.8,6.1,7.4,56,22000,0.1,2.1,0.01,0.32,20,170,120,650
2286,R AYROOR AT AYROOR BRIDGE,KERALA,27,33,1.5,6.4,5.9,7.7,100,182,1,5.5,0.01,0.1,100,310,310,1200
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,22,32,5.3,7.2,6,8.2,96,360,0.8,2.9,0.03,2,2,260,31,840
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,22,33,5.7,7.1,6.5,8.2,160,508,1.1,2.6,0.1,7.8,2,1200,31,1300
1154,"CHALAKUDY AT PULICKALKA-DAVU, KERALA",KERALA,26,31,3.6,8.6,6,7.4,40,375,0.3,2.6,0.01,1.63,79,2400,340,4700
20,CHALIYAR AT KOOLIMADU,KERALA,22,31,6.1,8.7,6.2,7.9,26,128,0.1,1.7,0.01,0.88,100,5600,140,6300
21,CHALIYAR AT CHUNGAPALLY,KERALA,23,31,5.1,9.2,6.1,7.7,34,42100,0.1,1.5,0.08,0.9,60,4600,81,7000
3464,"CHALIYAR AT NILAMBUR,
MALAPPURAM",KERALA,20,32,6,8.2,6.1,8.1,28,160,0.1,1.9,0.01,0.83,150,4900,260,6300
1572,"PADIYATHADKA, KERALA",KERALA,29,34,6.3,8.7,6.3,8.1,39,120,0.3,2.8,0.01,0.3,17,280,92,1200
1573,"IRUMPANAM, KERALA",KERALA,25,30,1.4,7.1,6.4,7.1,149,6500,0.4,2.8,0.16,7.38,170,6300,840,17000
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,32,4.1,7.9,6.4,7.9,218,33250,0.1,2.4,0.03,2.65,200,4600,400,5000
1564,"AYUR, KERALA",KERALA,18,23,6,6.9,7,7.6,118,130,1.2,2.1,0.62,0.98,70,210,170,410
2287,R ITHIKKARA AT ITHIKKARA,KERALA,19,24,5.9,6.8,6.8,7.8,9140,9890,1.4,2.1,1,1.6,91,280,260,490
1566,"THIRURANGADY, KERALA",KERALA,22,33,4,8,6,7.9,65,158,0.8,3.4,0.01,0.8,4,70,8,81
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,22,33,4.6,8.3,6.5,7.6,60,140,0.6,2.1,0.02,0.85,4,40,20,61
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,26,31,0.8,4.8,6.5,7.3,94,210,1.2,3.6,0.1,1.8,200,100000,700,120000
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,26,31,0.8,8.4,6.5,7.6,88,160,0.4,4.4,0.03,0.83,120,6300,340,7900
42,"KALLADA AT PERUMTHOTTAMKADAVU,
PUNALOOR",KERALA,18,25,6.2,7.1,6.5,7.4,104,118,1.2,2.1,0.48,0.66,82,280,210,470
2294,R KALLAI AT KALLAI BRIDGE,KERALA,23,34,2.1,5.8,7,7.9,126,52300,0.2,4.6,0.04,1.69,200,12800,400,28000
3460,"KALPATHI PUZHA AT KALPATHI,
PALAKKAD",KERALA,24,31,2.1,6.9,6.6,8.1,133,1296,1.2,3,0.19,12.04,10,1000,110,2200
3458,KARAPUZHA DAM AT WAYANAD,KERALA,27,32,5.1,8,6.5,7.1,100,190,0.1,2,0.12,0.16,2,56,15,112
1571,"KAKKADAVU, KERALA",KERALA,25,32,4.1,8.7,6.4,8.1,54,105,0.3,1.8,0.01,0.5,16,220,65,840
1155,"KARAMANA AT MOONNATTUMUKKU,
KERALA",KERALA,28,37,0.1,2.8,6.4,7.2,405,935,2.9,10.2,1,2.6,3100,190000,8100,410000
3471,"RIVER KARAMANA AT ARUVIKARA,
THIRUVANANTHAPURAM",KERALA,28,37,5,7.7,6,7.3,70,186,1.1,4.3,0.01,0.1,79,500,180,600
2289,"R KARUVANNURR AT KARUVANNUR
BRIDGE",KERALA,26,32,5,7.5,6,7.5,65,121,0.8,2.9,0.01,0.32,60,480,100,610
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,22,32,3.6,6.3,5.8,7.3,42,20700,0.3,2.1,0.01,0.25,10,180,50,810
2291,"R KEECHERI AT VADAKKANCHERY
BRIDGE",KERALA,23,32,4.9,7.1,6,7.8,88,195,0.9,2.8,0.01,0.34,100,480,200,790
2326,R KORAYAR AT KANJIKODE,KERALA,25,37,5.4,7.3,6.2,8,300,1524,0.7,3,0.29,5.84,2,400,40,920
1569,"THALIPARAMBA, KERALA",KERALA,24,31,4.9,8.2,6.2,7.5,64,41800,0.3,2.8,0.01,0.3,10,120,49,790
2298,R KUPPAM AT RAYAROM,KERALA,21,32,4.8,8,6.8,7.8,32,125,0.2,2.9,0.01,0.31,10,130,80,610
1567,"KUTTIYADY ESTATE, KERALA",KERALA,26,32,6.8,9.9,6.2,7.7,24,44,0.1,1.5,0.01,0.6,50,1400,70,1700
1568,"VALAYAM, KERALA",KERALA,24,30,5.7,8.6,6.4,7.7,33,102,0.1,2.4,0.01,0.49,180,3400,460,7000
2285,R MAMOM AT MAMOM BRIDGE,KERALA,28,34,4.1,7.4,6.1,7.8,102,189,0.5,4.6,0.01,0.06,100,910,200,2500
1340,"MANIMALA AT KALLOOPARA, KERALA",KERALA,26,32,5.4,8.1,6.9,7.9,80,330,0.4,3,0.01,0.31,50,610,100,920
1384,"MANIMALA AT THONDRA, KERALA",KERALA,26,32,5.8,8,6.8,7.6,84,304,0.3,2.4,0.05,0.24,100,790,200,1200
3459,"MANIYANKODE PUZHA AT
MANIYANKODE BRIDGE, WAYANAD",KERALA,26,34,4.2,7.1,6.5,7.6,66,199,0.2,2.8,0.1,0.21,2,84,17,170
2307,R MANJESWARAM AT BAJRAKKARA BR.,KERALA,27,30,3,8.5,6.2,8.8,54,228,1,2.9,0.01,0.6,4,220,40,940
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27,31,6,7.7,6.8,7.9,44,103,0.2,0.9,0.06,0.8,310,2800,700,4900
2304,R MOGRAL AT MOGRAL BR.,KERALA,28,32,4.1,7.8,6.2,7.9,199,49800,0.5,2.1,0.01,0.21,31,430,150,1720
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,28,32,5.7,7.8,6.9,7.9,54,86,0.2,0.8,0.11,0.48,1100,2700,2200,4900
1570,"HOSDURG, KERALA",KERALA,26,32,3,8.2,6.3,8.1,75,40000,0.4,2.9,0.03,0.6,32,390,230,1400
2302,"R NEELASWARAM AT NAMBIARKAL
DAM",KERALA,26,34,5.9,8.2,6.2,8.1,53,820,0.6,2.7,0.01,0.21,26,240,120,940
1563,"AMARAVILA, KERALA",KERALA,28,35,3.6,7,6,7.3,80,157,0.1,3.9,0.01,0.22,100,600,400,1500
2284,R NEYYAR AT ARUVIPURAM,KERALA,28,34,4.1,7.1,6.1,7.6,92,147,0.4,6.5,0.01,0.3,100,480,200,920
2288,R PALLICKAL AT NELLIMUKAL,KERALA,18,24,6,7.1,6.5,7.2,120,132,1.2,2.2,0.52,0.76,100,280,260,480
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28,32,3.1,5.8,6.1,7,68,100,0.8,2.5,0.15,0.54,110,380,220,540
1565,"PAMBA DOWN, KERALA",KERALA,27,32,2.1,6.6,6.3,6.9,56,88,0.5,3.9,0.26,0.41,140,460,270,660
10016,PAMBA U/S,KERALA,24,29,6.1,8,6.4,8.1,46,90,0.2,1.7,0.22,1.14,210,42500,430,78000
10017,PAMBA D/S,KERALA,25,30,5.2,7.3,6.1,7.9,59,115,0.8,3.9,0.27,2.25,520,32500,710,57000
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27,30,5.3,8,6.1,6.8,43,72,0.3,1.5,0.14,0.59,170,630,380,840
17,PERIYAR NEAR ALWAYE-ELOOR,KERALA,27,32,4.4,9.6,6.6,7.7,90,33000,0.3,2.8,0.07,1.58,170,12000,400,43000
18,PERIYAR AT KALADY,KERALA,25,30,4,8.2,6.6,7.6,32,56,0.5,2.6,0.01,1.19,170,3800,460,7000
1338,"PERIYAR AT SEWAGE DISCHARGE
POINT, KERALA",KERALA,24,31,4.8,7.7,4.1,7.3,38,78,0.4,2.1,0.01,2.63,580,7000,1200,7900
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,24,33,4.5,7.9,6.8,7.7,35,92,0.1,1.6,0.01,0.59,240,3500,1100,5400
2334,RIVER PERIYAR AT PATHALAM,KERALA,24,31,4.7,9.1,6.5,7.2,44,29000,0.2,2.9,0.01,2.62,400,4700,1400,26000
2335,R PERIYAR AT KALAMASSERY,KERALA,25,31,0.9,7.4,6.3,7.3,41,135,0.3,2.4,0.01,0.52,350,4600,1700,16000
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,26,31,5.3,7.2,6.7,7.7,49,9600,0.1,2.8,0.05,1.12,40,2700,110,7000
3468,"PERIYAR AT KWA INTAKE- ALUVA, ERNAKULAM",KERALA,23,31,5.3,8.8,6.5,7.5,30,64,0.3,2.7,0.01,0.97,10,3500,14,5400
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,22,32,4.4,7.1,6.3,7.3,39,1100,0.2,2.6,0.05,0.5,20,210,150,760
2303,R PULLUR AT PULLUR BR.,KERALA,28,30,4.9,9.1,5.2,8.2,37,78,1,3.8,0.01,0.57,26,380,140,1850
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,22,32,5,7.5,5.8,7.7,85,182,1,2.6,0.01,1.42,55,400,100,1000
2299,"R RAMAPURAM AT RAMAPURAM
BRIDGE",KERALA,21,34,3.2,8.3,6.1,7.7,131,53500,0.3,2.4,0.01,0.23,10,150,100,500
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28,31,7,9.7,6.1,7,39,66,0.1,2.8,0.01,0.32,19,80,85,540
2296,R THALLASSERY AT PATHIPPALAM,KERALA,24,32,1.3,8,6.2,7.4,24,122,0.3,2.1,0.01,0.35,10,150,100,740
2292,"R THIRUR AT THALAKKADATHUR
BRIDGE",KERALA,22,34,2.1,6.7,6,7.5,74,39650,0.8,3.2,0.24,1.9,8,48,17,63
2306,R UPPALA AT UPPALA BR.,KERALA,28,32,4.4,9.1,6.1,7.9,62,46500,0.1,3.3,0.01,0.66,32,490,110,1980
3473,"RIVER VALAPATTANAM AT
PARASSINIKADAVU, KANNUR",KERALA,24,32,4.5,8.2,6.9,7.6,66,42600,0.7,2.7,0.01,0.51,5,170,31,750
1442,"VAMANAPURAM, KERALA",KERALA,27,35,3.1,7.4,6.2,7.8,75,223,0.4,6.3,0.01,0.3,100,940,400,2600
4620,"AJAB BOURALI DAM PETLAVAD,
JHABUA",MADHYA PRADESH,19,28,6.7,7.3,7.8,8.6,254,414,0.8,1.5,0.39,0.93,2,2,40,48
4619,DEJLA DEWDA KHARGON,MADHYA PRADESH,15,29,5.6,7.4,7.7,8.3,289,602,0.8,1.4,0.52,1.64,2,2,32,120
4611,RIVER GAMBHIR AT DAM SITE UJJAIN,MADHYA PRADESH,22,34,6.5,7.7,7.3,7.8,258,520,1.8,2,0.61,0.9,2,6,47,63
4613,"HIRAN RIVER AFTER MIXING PARIYAT RIVER NEAR ROAD BRIDGE AT VILL
GANIYARI, JABALPUR",MADHYA PRADESH,18.2,22.1,6.2,7.8,7.4,8.3,170,3420,1.6,6,0.34,1.6,2,140,39,540
4624,"KATNI RIVER D/S NEAR MOHANGHAT
KATNI",MADHYA PRADESH,24.5,27.6,5.4,6.7,7.1,8.3,310,682,1.5,2.3,0.13,1.52,2,18,34,94
4606,"RIVER KEN NEAR ROAD BRIDGE AT
PANNA CHHATARPUR",MADHYA PRADESH,23,30,6.5,7.4,7.3,8.4,167,288,0.5,1.2,0.01,0.44,2,2,3,25
4621,NANPUR FATA DAM ALIRAJPUR,MADHYA PRADESH,21,28,6.2,7.2,7.8,8.7,300,521,0.5,1.4,0.69,1.03,2,2,33,49
4612,SITARAM JAJU SAGAR DAM/POND WATER AT HARKHIYA KHAL NEEMUCH,MADHYA PRADESH,22,38,6,7.5,7.3,7.9,198,593,1.8,2.4,0.14,1.99,2,32,48,210
4609,"RIVER TONS AT M.P-U.P BOUNDARY,
BEFORE MIXING RIVER BELAN
CHAKGHAT REWA",MADHYA PRADESH,26.5,33,6.2,7.6,7.4,7.9,267,541,0.7,1.4,0.14,0.96,2,18,26,46
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS,
WAKENPHATA, ROHA, RAIGAD",MAHARASHTRA,25,38,5,7.5,6.7,8.9,71,810,3,4.9,0.1,3.05,2,170,49,920
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), BHIWANDI, THANE",MAHARASHTRA,20,30,4.4,7.5,6.9,8.4,79,50920,3,10,0.1,3.23,2,210,24,1600
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNE, SHAHAPUR, THANE",MAHARASHTRA,16,39,6,7.4,6.5,8.7,67,1970,3,4,0.1,3.3,11,220,23,430
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNE, SHAHAPUR, THANE",MAHARASHTRA,15,38,6.8,7.6,6.6,8.5,66,385,3,4,0.1,1.5,2,220,27,920
1092,"KALU AT ATALE VILLAGE, KALYAN, THANE",MAHARASHTRA,24,30,5,7.5,6.7,8,71,3572,3,7,0.1,1.3,2,540,23,1600
2670,"KAN RIVER NEAR SAKRI WATER WORKS, SAKRI, DHULE",MAHARASHTRA,26,32,3.8,6.2,7.2,8,374,819,3,6.5,2.3,14.1,2,350,220,1800
1152,"KUNDALIKA AT ROHA BRIDGE, ROHA CITY, RAIGAD",MAHARASHTRA,25,28,6.4,7.6,6.9,9,65,137,3,4,0.1,0.8,2,350,26,1600
2198,"KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ), AREKHURD, ROHA,
RAIGAD",MAHARASHTRA,20,28,4.4,7.2,7,8,93,59500,3,9,0.3,2.8,6,540,33,1600
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,20,28,3.5,7.4,6.5,8.1,85,66200,3,15,0.3,1.5,2,79,23,350
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,25,36,4.7,7.6,6.8,8.8,67,590,3,5.4,0.1,8.7,2,350,39,1600
2168,"MITHI RIVER, MAHIM, BANDRA, MUMBAI",MAHARASHTRA,22,37,BDL,7.3,6.1,7.8,129,58970,3,50,0.1,2.4,13,3500,46,9200
2676,"MUCHKUNDI RIVER AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED,
LANJA, RATNAGIRI",MAHARASHTRA,22,30,4,7,6.5,8.1,64,55900,2,12,0.02,0.91,2,920,21,920
1151,"PATALGANGA AT SHILPHATA, KHOPOLI,
KHALAPUR, RAIGAD",MAHARASHTRA,28,29,6.2,7.2,6.6,7.7,80,233,3,4,0.2,1.7,2,220,40,540
1462,"PATALGANGA NEAR INTAKE OF MIDC
W/W, TURADE, KHALAPUR, RAIGAD",MAHARASHTRA,18,29,4.3,7.2,6.6,8.2,83,1010,3,5.8,0.2,1.8,9,350,34,1600
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, KHARPADA,
KHALAPUR, RAIGAD",MAHARASHTRA,18,29,3.4,7.2,6.6,8.5,127,23800,3,11,0.4,2.7,17,34,47,280
2686,"PATALGANGA RIVER AT VYAL PUMP
HOUSE, VYAL, KHALAPUR, RAIGAD",MAHARASHTRA,18,29,6.4,7.4,6.5,7.9,74,997,3,4,0.2,6.82,8,220,23,540
